pathway,overlap_genes,overlap_count,pathway_size,enrichment_ratio,pvalue,rank,fdr
HP_LOWER_EXTREMITY_JOINT_DISLOCATION,"SOX9, EIF2AK3",2,288,8.17,0.024371552240612143,1157,0.06028641530910281
HP_SHORT_NOSE,"KCNJ11, ABCC8",2,290,8.11,0.024687299118903716,1171,0.0603373612965862
GOBP_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS,"GCK, INS",2,288,8.17,0.024371552240612143,1156,0.06033856618739788
GOCC_ION_CHANNEL_COMPLEX,"KCNJ11, ABCC8",2,288,8.17,0.024371552240612143,1155,0.06039080737024411
LU_EZH2_TARGETS_UP,"DDIT3, MAFA",2,288,8.17,0.024371552240612143,1154,0.06044313909240204
GOBP_CELLULAR_RESPONSE_TO_GAMMA_RADIATION,HSPA5,1,30,39.22,0.02520624636636848,1183,0.06098079213909263
GOBP_REGULATION_OF_GLIAL_CELL_PROLIFERATION,ABCC8,1,30,39.22,0.02520624636636848,1182,0.06103238333379576
GOCC_SMOOTH_ENDOPLASMIC_RETICULUM,HSPA5,1,30,39.22,0.02520624636636848,1181,0.06108406189716053
HP_IRREGULAR_VERTEBRAL_ENDPLATES,EIF2AK3,1,30,39.22,0.02520624636636848,1180,0.06113582805131067
GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS,"SOX9, ALDH1A3",2,294,8.0,0.025323902361199916,1185,0.061162032538189165
HP_ACUTE_HEPATIC_FAILURE,EIF2AK3,1,30,39.22,0.02520624636636848,1179,0.06118768201912348
GOBP_DEVELOPMENTAL_MATURATION,"DDIT3, NKX6-1",2,294,8.0,0.025323902361199916,1184,0.06121368966026534
WP_DOPAMINERGIC_NEUROGENESIS,NKX6-1,1,30,39.22,0.02520624636636848,1178,0.061239624024233094
GUILLAUMOND_KLF10_TARGETS_DN,SLC2A2,1,30,39.22,0.02520624636636848,1177,0.06129165429103363
DAZARD_UV_RESPONSE_CLUSTER_G2,ATF4,1,30,39.22,0.02520624636636848,1176,0.06134377304468247
HP_HAND_TREMOR,GCK,1,30,39.22,0.02520624636636848,1175,0.061395980511103475
GOBP_ISOPRENOID_BIOSYNTHETIC_PROCESS,ALDH1A3,1,30,39.22,0.02520624636636848,1174,0.06144827691699028
GOBP_NEGATIVE_REGULATION_OF_BIOMINERALIZATION,SOX9,1,30,39.22,0.02520624636636848,1173,0.06150066248980953
GOBP_RESPONSE_TO_ATP,KCNJ11,1,30,39.22,0.02520624636636848,1172,0.061553137457804254
SHIN_B_CELL_LYMPHOMA_CLUSTER_2,XBP1,1,31,37.95,0.026036065786086644,1207,0.06173589086974315
WP_ETHANOL_EFFECTS_ON_HISTONE_MODIFICATIONS,ALDH1A3,1,31,37.95,0.026036065786086644,1206,0.06178708149235488
PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN,ALDH1A3,1,31,37.95,0.026036065786086644,1205,0.061838357078655586
GOBP_REGULATION_OF_B_CELL_DIFFERENTIATION,XBP1,1,31,37.95,0.026036065786086644,1204,0.06188971784034882
GOBP_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY,INS,1,31,37.95,0.026036065786086644,1203,0.06194116398984205
HP_VERTEBRAL_HYPOPLASIA,SOX9,1,31,37.95,0.026036065786086644,1202,0.06199269574024957
GOBP_NADH_METABOLIC_PROCESS,GCK,1,31,37.95,0.026036065786086644,1201,0.06204431330539549
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,"DDIT3, SOX9, GCK, INS",4,1375,3.42,0.02572138449160382,1186,0.06206964790469657
HP_METAPHYSEAL_DYSPLASIA,EIF2AK3,1,31,37.95,0.026036065786086644,1200,0.06209601689981665
GOBP_CARTILAGE_DEVELOPMENT_INVOLVED_IN_ENDOCHONDRAL_BONE_MORPHOGENESIS,SOX9,1,31,37.95,0.026036065786086644,1199,0.062147806738765625
WP_OLIGODENDROCYTE_SPECIFICATION_AND_DIFFERENTIATION_LEADING_TO_MYELIN_COMPONENTS_FOR_CNS,SOX9,1,31,37.95,0.026036065786086644,1198,0.062199683038213674
WP_FAMILIAL_PARTIAL_LIPODYSTROPHY_FPLD,INS,1,31,37.95,0.026036065786086644,1197,0.062251646014853786
GOBP_SMOOTH_MUSCLE_CELL_APOPTOTIC_PROCESS,ATF4,1,31,37.95,0.026036065786086644,1196,0.06230369588610366
GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,XBP1,1,31,37.95,0.026036065786086644,1195,0.06235583287010877
GOBP_RESPONSE_TO_IRON_ION,PDX1,1,31,37.95,0.026036065786086644,1194,0.06240805718574538
GOBP_POSITIVE_REGULATION_OF_CARTILAGE_DEVELOPMENT,SOX9,1,31,37.95,0.026036065786086644,1193,0.06246036905262362
GOBP_BONE_GROWTH,SOX9,1,31,37.95,0.026036065786086644,1192,0.06251276869109058
HP_INTERICTAL_EEG_ABNORMALITY,"KCNJ11, ABCC8",2,298,7.9,0.02596727852402664,1188,0.06255753462606418
GOMF_BHLH_TRANSCRIPTION_FACTOR_BINDING,SOX9,1,31,37.95,0.026036065786086644,1191,0.0625652563222334
GOBP_RHYTHMIC_PROCESS,"ATF4, HSPA5",2,298,7.9,0.02596727852402664,1187,0.0626102368456312
KYNG_ENVIRONMENTAL_STRESS_RESPONSE_NOT_BY_GAMMA_IN_WS,SOX9,1,31,37.95,0.026036065786086644,1190,0.06261783216788233
HP_ABNORMALITY_OF_THE_ODONTOID_PROCESS,EIF2AK3,1,31,37.95,0.026036065786086644,1189,0.06267049645061394
GOBP_LIPID_METABOLIC_PROCESS,"SOX9, ALDH1A3, INS, XBP1",4,1388,3.39,0.026524859904502103,1208,0.06284283861480548
GOBP_REGULATION_OF_FATTY_ACID_OXIDATION,SOX9,1,32,36.76,0.026865220319695574,1219,0.0630748650984157
GOBP_REGULATION_OF_KIDNEY_DEVELOPMENT,SOX9,1,32,36.76,0.026865220319695574,1218,0.06312665070194477
REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN,GCK,1,32,36.76,0.026865220319695574,1217,0.06317852140917728
GOBP_EPITHELIAL_STRUCTURE_MAINTENANCE,SOX9,1,32,36.76,0.026865220319695574,1216,0.06323047743007297
NOJIMA_SFRP2_TARGETS_UP,HSPA5,1,32,36.76,0.026865220319695574,1215,0.0632825189752829
GOBP_METANEPHROS_MORPHOGENESIS,SOX9,1,32,36.76,0.026865220319695574,1214,0.06333464625615218
MAYBURD_RESPONSE_TO_L663536_UP,EIF2AK3,1,32,36.76,0.026865220319695574,1213,0.06338685948472278
HP_VOMITING,"KCNJ11, ABCC8",2,303,7.77,0.026780950823527744,1209,0.06339708954254458
GOBP_POSITIVE_REGULATION_OF_MONOOXYGENASE_ACTIVITY,INS,1,32,36.76,0.026865220319695574,1212,0.06343915887373658
GOBP_AORTIC_VALVE_MORPHOGENESIS,SOX9,1,32,36.76,0.026865220319695574,1211,0.0634915446366381
GOMF_VITAMIN_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,SLC2A2,1,32,36.76,0.026865220319695574,1210,0.06354401698757747
GOBP_REGULATION_OF_TRANSPORTER_ACTIVITY,"INS, ABCC8",2,305,7.71,0.027109341435795953,1220,0.06359584851577707
GOBP_NEGATIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION,"SOX9, ABCC8, PDX1",3,785,4.5,0.027155682165256528,1221,0.06365238522273889
GOBP_COGNITION,"INS, ABCC8",2,306,7.69,0.027274159874014027,1222,0.06387777869020306
GOBP_NEURON_DEATH_IN_RESPONSE_TO_OXIDATIVE_STRESS,ATF4,1,33,35.65,0.02769371046665897,1232,0.06433392804835875
FRIDMAN_IMMORTALIZATION_DN,ALDH1A3,1,33,35.65,0.02769371046665897,1231,0.0643861895658635
GOBP_RESPONSE_TO_ARSENIC_CONTAINING_SUBSTANCE,ATF4,1,33,35.65,0.02769371046665897,1230,0.0644385360614455
HP_ELEVATED_CIRCULATING_FOLLICLE_STIMULATING_HORMONE_LEVEL,SOX9,1,33,35.65,0.02769371046665897,1229,0.064490967742537
GOBP_ION_HOMEOSTASIS,"DDIT3, ATF4, IAPP",3,792,4.46,0.02778709759324821,1233,0.06449851850111629
GOBP_INTERLEUKIN_4_PRODUCTION,DDIT3,1,33,35.65,0.02769371046665897,1228,0.06454348481724591
GOBP_CGMP_MEDIATED_SIGNALING,INS,1,33,35.65,0.02769371046665897,1227,0.06459608749435858
HP_NEUROENDOCRINE_NEOPLASM,MAFA,1,33,35.65,0.02769371046665897,1226,0.06464877598334255
HP_ABNORMAL_URINE_PHOSPHATE_CONCENTRATION,SLC2A2,1,33,35.65,0.02769371046665897,1225,0.06470155049434936
GOCC_ENDOPLASMIC_RETICULUM_LUMEN,"INS, HSPA5",2,310,7.59,0.027937570719767425,1235,0.06474277522265132
LIANG_SILENCED_BY_METHYLATION_UP,ALDH1A3,1,33,35.65,0.02769371046665897,1224,0.06475441123821729
GOBP_RESPONSE_TO_LIGHT_STIMULUS,"ATF4, ABCC8",2,310,7.59,0.027937570719767425,1234,0.06479524100484146
GOBP_POSITIVE_REGULATION_OF_MUSCLE_CELL_APOPTOTIC_PROCESS,ATF4,1,33,35.65,0.02769371046665897,1223,0.06480735842647421
GOBP_HEAD_DEVELOPMENT,"SOX9, HSPA5, ALDH1A3",3,795,4.44,0.028060154149470513,1236,0.0649742404334827
GOBP_REGULATION_OF_CELLULAR_AMINE_METABOLIC_PROCESS,INS,1,34,34.6,0.028521536726090382,1253,0.06514655874706358
GOBP_POSITIVE_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS,SOX9,1,34,34.6,0.028521536726090382,1252,0.06519859273967306
GOBP_MATURE_B_CELL_DIFFERENTIATION,XBP1,1,34,34.6,0.028521536726090382,1251,0.06525070992012044
GOBP_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE,ABCC8,1,34,34.6,0.028521536726090382,1250,0.06530291048805653
GOBP_AMYLOID_FIBRIL_FORMATION,IAPP,1,34,34.6,0.028521536726090382,1249,0.06535519464377156
GOBP_DEVELOPMENTAL_INDUCTION,SOX9,1,34,34.6,0.028521536726090382,1248,0.06540756258819765
GOMF_ADP_BINDING,ERN1,1,34,34.6,0.028521536726090382,1247,0.06546001452291152
GROSS_HYPOXIA_VIA_ELK3_ONLY_UP,ATF4,1,34,34.6,0.028521536726090382,1246,0.06551255065013697
GOBP_CHAPERONE_COFACTOR_DEPENDENT_PROTEIN_REFOLDING,HSPA5,1,34,34.6,0.028521536726090382,1245,0.06556517117274753
GOCC_ENDORIBONUCLEASE_COMPLEX,ERN1,1,34,34.6,0.028521536726090382,1244,0.06561787629426903
GOBP_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE,ABCC8,1,34,34.6,0.028521536726090382,1243,0.06567066621888228
BAUS_TFF2_TARGETS_UP,SLC2A2,1,34,34.6,0.028521536726090382,1242,0.06572354115142566
GOBP_CANONICAL_WNT_SIGNALING_PATHWAY,"DDIT3, SOX9",2,313,7.52,0.02843945231365481,1238,0.065746132893118
GOBP_REGULATION_OF_CELLULAR_LOCALIZATION,"PDX1, INS, EIF2AK3",3,799,4.42,0.02842651617474975,1237,0.0657693527018058
GOBP_RETINOIC_ACID_METABOLIC_PROCESS,ALDH1A3,1,34,34.6,0.028521536726090382,1241,0.0657765012973978
HP_GONADAL_DYSGENESIS,SOX9,1,34,34.6,0.028521536726090382,1240,0.06582954686296022
WP_P38_MAPK_SIGNALING_PATHWAY,DDIT3,1,34,34.6,0.028521536726090382,1239,0.06588267805494001
HP_ABNORMAL_BLOOD_ION_CONCENTRATION,"SLC2A2, EIF2AK3",2,317,7.42,0.02911435494934548,1254,0.06644759478869758
HONMA_DOCETAXEL_RESISTANCE,HSPA5,1,35,33.61,0.02934869959675334,1263,0.06650512925250045
KEGG_PRION_DISEASES,HSPA5,1,35,33.61,0.02934869959675334,1262,0.06655782745317596
GOBP_RELAXATION_OF_MUSCLE,ABCC8,1,35,33.61,0.02934869959675334,1261,0.06661060923545445
GOBP_PROTEIN_KINASE_A_SIGNALING,IAPP,1,35,33.61,0.02934869959675334,1260,0.06666347479833973
GOBP_EMBRYONIC_EYE_MORPHOGENESIS,ALDH1A3,1,35,33.61,0.02934869959675334,1259,0.06671642434146788
GOBP_MAINTENANCE_OF_BLOOD_BRAIN_BARRIER,ABCC8,1,35,33.61,0.02934869959675334,1258,0.06676945806510975
GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS,"ALDH1A3, XBP1",2,318,7.4,0.029284098472994124,1255,0.06678174488423043
KEGG_REGULATION_OF_AUTOPHAGY,INS,1,35,33.61,0.02934869959675334,1257,0.06682257617017348
GOBP_NEGATIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY,INS,1,35,33.61,0.02934869959675334,1256,0.06687577885820706
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,"GCK, INS",2,321,7.33,0.02979576032584293,1264,0.06746476744664752
HP_NEOPLASM_OF_THE_MALE_EXTERNAL_GENITALIA,SOX9,1,36,32.68,0.030175199577061603,1277,0.06762836428312476
GOBP_POSITIVE_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM,SOX9,1,36,32.68,0.030175199577061603,1276,0.0676813645686131
BIOCARTA_P38MAPK_PATHWAY,DDIT3,1,36,32.68,0.030175199577061603,1275,0.06773444799180417
GOBP_NEGATIVE_REGULATION_OF_OSSIFICATION,SOX9,1,36,32.68,0.030175199577061603,1274,0.06778761474846963
WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONAVIRUSES_MAPK_SIGNALING,DDIT3,1,36,32.68,0.030175199577061603,1273,0.06784086503499631
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS,"DDIT3, HSPA5, XBP1",3,819,4.31,0.030297519666265094,1278,0.06784937502726972
HU_GENOTOXIC_DAMAGE_24HR,ATF4,1,36,32.68,0.030175199577061603,1272,0.06789419904838861
MMS_MOUSE_LYMPH_HIGH_4HRS_UP,XBP1,1,36,32.68,0.030175199577061603,1271,0.0679476169862709
YANG_BREAST_CANCER_ESR1_UP,XBP1,1,36,32.68,0.030175199577061603,1270,0.06800111904689
HEIDENBLAD_AMPLICON_12P11_12_UP,ABCC8,1,36,32.68,0.030175199577061603,1269,0.06805470542911767
PACHER_TARGETS_OF_IGF1_AND_IGF2_UP,DDIT3,1,36,32.68,0.030175199577061603,1268,0.06810837633245292
HP_TIBIAL_BOWING,SOX9,1,36,32.68,0.030175199577061603,1267,0.06816213195702471
HP_ABNORMALITY_OF_THE_SYNOVIA,"SOX9, EIF2AK3",2,325,7.24,0.030483622160072225,1279,0.06821276514630704
HALLMARK_HEDGEHOG_SIGNALING,NKX6-1,1,36,32.68,0.030175199577061603,1266,0.06821597250359425
GOBP_LUNG_EPITHELIUM_DEVELOPMENT,SOX9,1,36,32.68,0.030175199577061603,1265,0.06826989817355757
BUYTAERT_PHOTODYNAMIC_THERAPY_STRESS_UP,"DDIT3, ATF4, EIF2AK3",3,822,4.29,0.030583802671512412,1280,0.06838347128583479
HP_ABNORMALITY_OF_THE_VERTEBRAL_ENDPLATES,EIF2AK3,1,37,31.8,0.031001037165079556,1295,0.06851348908606772
GOBP_RESPIRATORY_BURST,INS,1,37,31.8,0.031001037165079556,1294,0.06856643614100286
GOBP_CELL_REDOX_HOMEOSTASIS,DDIT3,1,37,31.8,0.031001037165079556,1293,0.0686194650939348
GOBP_POSITIVE_REGULATION_OF_GLUCOSE_IMPORT,INS,1,37,31.8,0.031001037165079556,1292,0.06867257613502917
GOBP_POSITIVE_REGULATION_OF_RNA_SPLICING,ERN1,1,37,31.8,0.031001037165079556,1291,0.06872576945504082
GOCC_ENDOSOME_LUMEN,INS,1,37,31.8,0.031001037165079556,1290,0.06877904524531604
HP_BIFID_SCROTUM,SOX9,1,37,31.8,0.031001037165079556,1289,0.06883240369779495
GOBP_POSITIVE_REGULATION_OF_ATP_METABOLIC_PROCESS,INS,1,37,31.8,0.031001037165079556,1288,0.06888584500501373
GOBP_NADP_METABOLIC_PROCESS,GCK,1,37,31.8,0.031001037165079556,1287,0.06893936936010699
PID_FRA_PATHWAY,ATF4,1,37,31.8,0.031001037165079556,1286,0.06899297695681002
KYNG_ENVIRONMENTAL_STRESS_RESPONSE_NOT_BY_4NQO_IN_WS,SOX9,1,37,31.8,0.031001037165079556,1285,0.06904666798946124
GOBP_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,EIF2AK3,1,37,31.8,0.031001037165079556,1284,0.06910044265300443
GOBP_EMBRYONIC_CAMERA_TYPE_EYE_DEVELOPMENT,ALDH1A3,1,37,31.8,0.031001037165079556,1283,0.06915430114299119
WP_PRION_DISEASE_PATHWAY,HSPA5,1,37,31.8,0.031001037165079556,1282,0.06920824365558322
GOBP_MAINTENANCE_OF_LOCATION,"DDIT3, HSPA5",2,330,7.13,0.03135245867195179,1296,0.06923667956722687
GOBP_LENS_FIBER_CELL_DIFFERENTIATION,ATF4,1,37,31.8,0.031001037165079556,1281,0.0692622703875548
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS_NAD_OR_NADP_AS_ACCEPTOR,ALDH1A3,1,38,30.96,0.0318262128585221,1299,0.07012057059360297
HP_11_PAIRS_OF_RIBS,SOX9,1,38,30.96,0.0318262128585221,1298,0.07017459260484611
PID_P38_ALPHA_BETA_DOWNSTREAM_PATHWAY,DDIT3,1,38,30.96,0.0318262128585221,1297,0.07022869791911353
GOCC_ORGANELLE_SUBCOMPARTMENT,"ERN1, HSPA5, XBP1, EIF2AK3",4,1470,3.2,0.03195186777005016,1300,0.07034326581375658
NIKOLSKY_BREAST_CANCER_17Q21_Q25_AMPLICON,"ERN1, SOX9",2,334,7.04,0.03205467938386673,1301,0.07051536694590822
GOBP_EATING_BEHAVIOR,IAPP,1,39,30.17,0.032650727154755185,1312,0.07122437585130285
GOMF_CATION_CHANNEL_ACTIVITY,"KCNJ11, ABCC8",2,336,7.0,0.03240815788112218,1302,0.07123820879859576
LEE_CALORIE_RESTRICTION_MUSCLE_UP,DDIT3,1,39,30.17,0.032650727154755185,1311,0.07127870413189118
SESTO_RESPONSE_TO_UV_C6,ATF4,1,39,30.17,0.032650727154755185,1310,0.07133311535641934
HP_ABNORMAL_CIRCULATING_NUCLEOBASE_CONCENTRATION,SLC2A2,1,39,30.17,0.032650727154755185,1309,0.0713876097149804
GOBP_PEPTIDYL_SERINE_MODIFICATION,"ERN1, EIF2AK3",2,338,6.96,0.03276320755831465,1313,0.07141530847821517
SPIRA_SMOKERS_LUNG_CANCER_UP,SOX9,1,39,30.17,0.032650727154755185,1308,0.07144218739824873
GOBP_NEGATIVE_REGULATION_OF_POTASSIUM_ION_TRANSPORT,ATF4,1,39,30.17,0.032650727154755185,1307,0.07149684859748227
GOBP_TOXIN_TRANSPORT,HSPA5,1,39,30.17,0.032650727154755185,1306,0.07155159350452477
GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY,"DDIT3, SOX9",2,337,6.98,0.03258548667688413,1303,0.07157303366787596
HP_ABNORMAL_EPIPHYSIS_MORPHOLOGY_OF_THE_PHALANGES_OF_THE_HAND,EIF2AK3,1,39,30.17,0.032650727154755185,1305,0.07160642231180792
HEIDENBLAD_AMPLICON_8Q24_DN,ATF4,1,39,30.17,0.032650727154755185,1304,0.07166133521235378
GOBP_REGULATION_OF_LIPID_METABOLIC_PROCESS,"SOX9, INS",2,339,6.94,0.03294131981709391,1315,0.0716943401646561
GOBP_REGULATION_OF_AUTOPHAGY,"DDIT3, ERN1",2,339,6.94,0.03294131981709391,1314,0.07174890206736893
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS,"ATF4, EIF2AK3",2,340,6.92,0.03311982274569766,1316,0.07202806436032425
GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION,"INS, HSPA5",2,341,6.9,0.0332987156373968,1318,0.07230722621716969
PHONG_TNF_RESPONSE_NOT_VIA_P38,"SOX9, HSPA5",2,341,6.9,0.0332987156373968,1317,0.07236212919835205
GOMF_GATED_CHANNEL_ACTIVITY,"KCNJ11, ABCC8",2,342,6.88,0.03347799778625657,1323,0.07242179112945299
GOBP_ENDOCARDIAL_CUSHION_MORPHOGENESIS,SOX9,1,40,29.41,0.03347458055079597,1322,0.07246917514098189
GOBP_METANEPHRIC_NEPHRON_DEVELOPMENT,SOX9,1,40,29.41,0.03347458055079597,1321,0.07252403447114161
GOBP_CELLULAR_CARBOHYDRATE_CATABOLIC_PROCESS,INS,1,40,29.41,0.03347458055079597,1320,0.07257897692149853
HP_RICKETS,SLC2A2,1,40,29.41,0.03347458055079597,1319,0.07263400268110544
GOBP_MONOSACCHARIDE_CATABOLIC_PROCESS,GCK,1,41,28.69,0.03429777354331281,1339,0.07330860932110624
GOBP_REGULATION_OF_BONE_RESORPTION,IAPP,1,41,28.69,0.03429777354331281,1338,0.07336339901417134
GOBP_MRNA_TRANSCRIPTION,ATF4,1,41,28.69,0.03429777354331281,1337,0.07341827066638838
GOMF_RNA_POLYMERASE_II_SPECIFIC_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING,"DDIT3, ATF4",2,347,6.78,0.0343802227357578,1340,0.07342999811174537
GOMF_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,"KCNJ11, ABCC8, SLC2A2",3,857,4.12,0.03403221313557371,1326,0.0734541432835686
GOBP_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ORGANELLE,HSPA5,1,41,28.69,0.03429777354331281,1336,0.07347322446179735
WP_PI3KAKT_SIGNALING_PATHWAY,"INS, ATF4",2,345,6.82,0.03401817272835104,1325,0.07347925309323824
XU_CREBBP_TARGETS_DN,ALDH1A3,1,41,28.69,0.03429777354331281,1335,0.07352826058498971
MIKKELSEN_NPC_HCP_WITH_H3K27ME3,"NKX6-1, PDX1",2,345,6.82,0.03401817272835104,1324,0.07353475101853525
GOBP_SEMI_LUNAR_VALVE_DEVELOPMENT,SOX9,1,41,28.69,0.03429777354331281,1334,0.07358337922111038
AMIT_EGF_RESPONSE_120_MCF10A,ALDH1A3,1,41,28.69,0.03429777354331281,1333,0.07363858055585991
GOCC_DENDRITE_MEMBRANE,ATF4,1,41,28.69,0.03429777354331281,1332,0.07369386477549644
GOMF_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,SLC2A2,1,41,28.69,0.03429777354331281,1331,0.07374923206683791
GOBP_NEGATIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_DIFFERENTIATION,XBP1,1,41,28.69,0.03429777354331281,1330,0.0738046826172641
GALLUZZI_PERMEABILIZE_MITOCHONDRIA,GCK,1,41,28.69,0.03429777354331281,1329,0.07386021661471878
GOBP_MESENCHYMAL_CELL_PROLIFERATION,SOX9,1,41,28.69,0.03429777354331281,1328,0.0739158342477118
HP_TRACHEOMALACIA,SOX9,1,41,28.69,0.03429777354331281,1327,0.07397153570532122
GOBP_ACYLGLYCEROL_HOMEOSTASIS,XBP1,1,42,28.01,0.03512030662862585,1357,0.07407097831328459
KEGG_TYROSINE_METABOLISM,ALDH1A3,1,42,28.01,0.03512030662862585,1356,0.07412560292855987
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,INS,1,42,28.01,0.03512030662862585,1355,0.07418030817057357
REACTOME_DEACTIVATION_OF_THE_BETA_CATENIN_TRANSACTIVATING_COMPLEX,SOX9,1,42,28.01,0.03512030662862585,1354,0.0742350942179669
HP_MALE_HYPOGONADISM,SOX9,1,42,28.01,0.03512030662862585,1353,0.07428996124990922
PID_TCPTP_PATHWAY,INS,1,42,28.01,0.03512030662862585,1352,0.07434490944609999
GOBP_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION,"DDIT3, IAPP",2,352,6.68,0.035292073679529794,1358,0.0743784351036924
GOBP_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION,INS,1,42,28.01,0.03512030662862585,1351,0.07439993898677068
WIERENGA_PML_INTERACTOME,HSPA5,1,42,28.01,0.03512030662862585,1350,0.0744550500526868
GOBP_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT,"DDIT3, KCNJ11, ABCC8",3,866,4.08,0.03495118930228568,1343,0.07448272805892898
HP_JOINT_DISLOCATION,"SOX9, EIF2AK3",2,350,6.72,0.03492618378429551,1342,0.07448490163237984
GOBP_REGULATION_OF_NITRIC_OXIDE_SYNTHASE_ACTIVITY,INS,1,42,28.01,0.03512030662862585,1349,0.07451024282514987
MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3,"NKX6-1, MAFA",2,350,6.72,0.03492618378429551,1341,0.07454044592889914
GOMF_PROTEIN_FOLDING_CHAPERONE,HSPA5,1,42,28.01,0.03512030662862585,1348,0.07456551748599939
GOBP_NEGATIVE_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION,DDIT3,1,42,28.01,0.03512030662862585,1347,0.07462087421761483
HP_ABNORMALITY_OF_THE_EXTERNAL_NOSE,"KCNJ11, SOX9, ABCC8",3,867,4.07,0.03505411058441764,1344,0.0746464765569965
MA_MYELOID_DIFFERENTIATION_DN,XBP1,1,43,27.36,0.03594218030270711,1378,0.07464914370562245
GOBP_CELLULAR_RESPONSE_TO_NUTRIENT,XBP1,1,42,28.01,0.03512030662862585,1346,0.07467631320291766
GOBP_REGULATION_OF_NEURON_MIGRATION,NKX6-1,1,43,27.36,0.03594218030270711,1377,0.07470335513895987
GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT,"ABCC8, XBP1",2,353,6.67,0.03547559129191571,1359,0.07471018563463043
GOBP_POSITIVE_REGULATION_OF_GLIAL_CELL_DIFFERENTIATION,NKX6-1,1,42,28.01,0.03512030662862585,1345,0.07473183462537336
REACTOME_SIGNALING_BY_RETINOIC_ACID,ALDH1A3,1,43,27.36,0.03594218030270711,1376,0.07475764536798528
GOBP_SOMATIC_STEM_CELL_POPULATION_MAINTENANCE,SOX9,1,43,27.36,0.03594218030270711,1375,0.07481201456461654
AMIT_EGF_RESPONSE_480_MCF10A,SOX9,1,43,27.36,0.03594218030270711,1374,0.07486646290127201
KIM_LIVER_CANCER_POOR_SURVIVAL_DN,SLC2A2,1,43,27.36,0.03594218030270711,1373,0.07492099055087235
KEGG_TYPE_I_DIABETES_MELLITUS,INS,1,43,27.36,0.03594218030270711,1372,0.07497559768684238
HP_ABNORMAL_RIB_CAGE_MORPHOLOGY,"SOX9, EIF2AK3",2,354,6.65,0.0356594897519404,1361,0.07498711217491068
GOBP_HINDBRAIN_MORPHOGENESIS,HSPA5,1,43,27.36,0.03594218030270711,1371,0.07503028448311287
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,"ABCC8, XBP1",2,354,6.65,0.0356594897519404,1360,0.07504224975739222
HP_FEMORAL_BOWING,SOX9,1,43,27.36,0.03594218030270711,1370,0.07508505111412243
GOBP_POSITIVE_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS,INS,1,43,27.36,0.03594218030270711,1369,0.07513989775481938
HP_FINGER_CLINODACTYLY,"KCNJ11, ABCC8",2,357,6.59,0.03621346326503002,1379,0.07515803615991001
HP_SHORT_MIDDLE_PHALANX_OF_FINGER,EIF2AK3,1,43,27.36,0.03594218030270711,1368,0.07519482458066355
ABBUD_LIF_SIGNALING_1_UP,XBP1,1,43,27.36,0.03594218030270711,1367,0.0752498317676282
GOBP_POSITIVE_REGULATION_OF_JUN_KINASE_ACTIVITY,ERN1,1,43,27.36,0.03594218030270711,1366,0.07530491949220186
